User,Location,Date Created,Number of Likes,Source of Tweet,Tweet
Paul W Mahon,East Coast North America ,2022-12-07 22:49:05+00:00,0,Twitter for iPad,"RT @InfogolApp: 📊 Most expected goals (xG) created in the #FIFAWorldCup round of 16:

1️⃣ #BRA - 4.29
2️⃣ #POR - 2.86
3️⃣ #ARG - 2.14
4️⃣ #…"
Ricardo Andrés Manzano Pacheco.,,2022-12-07 22:48:04+00:00,0,Twitter for Android,"Mire señor @velezfutbol como reciben el pueblo de Japón #JPN a su equipo. Con ramos a cada uno de los integrantes, después de haber caída en #CopaMundialFIFA #Qatar2022 contra #HRV en penas máximas 4-1. ¡Qué tal! AA. https://t.co/kZEY38ozKM"
ahi 🎃,,2022-12-07 22:48:02+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Luís 🇲🇦,"New York, USA",2022-12-07 22:44:21+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Willy Marie,,2022-12-07 22:41:09+00:00,0,Twitter for iPhone,"RT @brfootball: #WAL 0-2 #IRN
#QAT 1-3 #SEN
#NED 1-1 #ECU
#ENG 0-0 #USA
#TUN 0-1 #AUS
#POL 2-0 #KSA
#FRA 2-1 #DEN
#ARG 2-0 #MEX
#JPN 0-1 #C…"
Muad'Dib 🇨🇳🚀,Mars 🚀,2022-12-07 22:35:08+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Ebenezer Ansah Modred,,2022-12-07 22:05:01+00:00,0,Twitter for Android,"RT @golazoargentino: The @FIFAWorldCup last 16 is set

#NED  - #USA 
#ARG  - #AUS 
#FRA  - #POL
#ENG  - #SEN 
#JPN  - #HRV 
#BRA  - #KOR 
#…"
Shogun0ne,,2022-12-07 21:50:39+00:00,0,Twitter for Android,"RT @J_League: PK戦の結果ベスト８届かず。

#JPN 1-1 #HRV （PK1-3）

#SAMURAIBLUE #サッカー日本代表 
#FIFAWorldCup | #Qatar2022 https://t.co/kCPDXS1n5d"
🦋,Singapore,2022-12-07 21:29:07+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Mr Awesome Gamer,,2022-12-07 21:27:23+00:00,0,Twitter Web App,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
